row_id,source_page,source_row,name,name_dv,constituency,constituency_dv,movements,total_mvr,source_id
vip20--027,5,27,abdhulateef abdhurahmaanu,ޢަބްދުއްލަޠީފް ޢަބްދުއްރަޙްމާނު,alifushi dhaairaa,އަލިފުށި ދާއިރާ,2,1745.85,rti-majlis-vip-passports-20th
vip20--028,5,28,ibraaheem shifaaz,އިބްރާހީމް ޝިފާޒް,ungoofaaru dhaairaa,އުނގޫފާރު ދާއިރާ,4,3491.70,rti-majlis-vip-passports-20th
vip20--029,5,29,muhamadhu alee,މުޙައްމަދު ޢަލީ,dhuvaafaru dhaairaa,ދުވާފަރު ދާއިރާ,17,14839.74,rti-majlis-vip-passports-20th
vip20--030,5,30,ibraaheem falaah,އިބްރާހީމް ފަލާޙް,inguraidhoo dhaairaa,އިނގުރައިދޫ ދާއިރާ,29,25314.86,rti-majlis-vip-passports-20th
vip20--031,5,31,ahmadhu zaahiru,އަޙްމަދު ޒާހިރު,maduvari dhaairaa,މަޑުއްވަރި ދާއިރާ,19,16585.59,rti-majlis-vip-passports-20th
vip20--032,5,32,abdhulhannaan aboobakuru,ޢަބްދުލްޙަންނާން އަބޫބަކުރު,thulhaadhoo dhaairaa,ތުޅާދޫ ދާއިރާ,16,13966.82,rti-majlis-vip-passports-20th
vip20--033,5,33,ahmadhu saleem,އަޙްމަދު ސަލީމް,eydhafushi dhaairaa,އޭދަފުށި ދާއިރާ,37,32298.26,rti-majlis-vip-passports-20th
vip20--034,5,34,mauroof dhaakiru,މަޢުރޫފް ޛާކިރު,kendhoo dhaairaa,ކެންދޫ ދާއިރާ,10,8729.26,rti-majlis-vip-passports-20th
vip20--035,5,35,muhamadhu abdhurahmaan,މުޙައްމަދު އަބްދުއްރަޙްމާން,hinnavaru dhaairaa,ހިންނަވަރު ދާއިރާ,3,2618.77,rti-majlis-vip-passports-20th
vip20--036,5,36,yaaseen abdhuullah,ޔާސީން އަބްދުﷲ,naifaru dhaairaa,ނައިފަރު ދާއިރާ,11,9602.18,rti-majlis-vip-passports-20th
vip20--037,5,37,muhamadhu shaamin habeebu,މުޙައްމަދު ޝާމިން ޙަބީބު,kurendhoo dhaairaa,ކުރެންދޫ ދާއިރާ,4,3491.70,rti-majlis-vip-passports-20th
vip20--038,5,38,munthazim ibraaheem,މުންތަޡިމް އިބްރާހީމް,kaashidhoo dhaairaa,ކާށިދޫ ދާއިރާ,26,22696.08,rti-majlis-vip-passports-20th
vip20--039,5,39,ibraaheem naseem,އިބްރާހީމް ނަސީމް,thulusdhoo dhaairaa,ތުލުސްދޫ ދާއިރާ,4,3491.70,rti-majlis-vip-passports-20th
vip20--040,5,40,doktar anaaraa naeem,ޑޮކްޓަރ އަނާރާ ނަޢީމް,huraa dhaairaa,ހުރާ ދާއިރާ,27,23569.00,rti-majlis-vip-passports-20th
vip20--041,5,41,hasan zareeru,ހަސަން ޒަރީރު,mathiveri,މަތިވެރި,4,3491.70,rti-majlis-vip-passports-20th
vip20--042,5,42,husain sameeru,ޙުސައިން ސަމީރު,thodoo dhaairaa,ތޮއްޑޫ ދާއިރާ,25,21823.15,rti-majlis-vip-passports-20th
vip20--043,5,43,qaasim ibraaheem,ޤާސިމް އިބްރާހީމް,maamigili dhaairaa,މާމިގިލި ދާއިރާ,13,11348.04,rti-majlis-vip-passports-20th
vip20--044,5,44,ahmadhu taariq,އަޙްމަދު ޠާރިޤް,mahibadhoo dhaairaa,މަހިބަދޫ ދާއިރާ,6,5237.55,rti-majlis-vip-passports-20th
vip20--045,5,45,aadham zaahiru,އާދަމް ޒާހިރު,felidhoo dhaairaa,ފެލިދޫ ދާއިރާ,3,2618.77,rti-majlis-vip-passports-20th
vip20--046,5,46,muhamadhu niushaadhu,މުޙައްމަދު ނިއުޝާދު,keyodhoo dhaairaa,ކެޔޮދޫ ދާއިރާ,12,10475.11,rti-majlis-vip-passports-20th
vip20--047,5,47,ahmadhu naazim,އަޙްމަދު ނާޡިމް,dhigaru dhaairaa,ދިއްގަރު ދާއިރާ,133,116099.18,rti-majlis-vip-passports-20th
vip20--048,5,48,ibraaheem naufal,އިބްރާހީމް ނައުފަލް,mulaku dhaairaa,މުލަކު ދާއިރާ,32,27933.63,rti-majlis-vip-passports-20th
vip20--049,5,49,ahmadhu aslam,އަޙްމަދު އަސްލަމް,bilethdhoo dhaairaa,ބިލެތްދޫ ދާއިރާ,3,2618.77,rti-majlis-vip-passports-20th
vip20--050,5,50,faatimathu saudhaa,ފާޠިމަތު ސަޢުދާ,nilandhoo dhaairaa,ނިލަންދޫ ދާއިރާ,22,19204.37,rti-majlis-vip-passports-20th
vip20--051,5,51,ahmadhu siyaam muhamadhu,އަޙްމަދު ސިޔާމް މުޙައްމަދު,meedhoo dhaairaa,މީދޫ ދާއިރާ,78,68088.24,rti-majlis-vip-passports-20th
vip20--052,5,52,husain hameedhu,ޙުސައިން ޙަމީދު,kudahuvadhoo dhaairaa,ކުޑަހުވަދޫ ދާއިރާ,12,10475.11,rti-majlis-vip-passports-20th
vip20--053,5,53,hasan vaheedhu,ޙަސަން ވަޙީދު,vilufushi dhaairaa,ވިލުފުށި ދާއިރާ,6,5237.55,rti-majlis-vip-passports-20th
vip20--054,5,54,ahmadhu riyaaz,އަޙްމަދު ރިޔާޟް,thimarafushi dhaairaa,ތިމަރަފުށި ދާއިރާ,11,9602.18,rti-majlis-vip-passports-20th
vip20--055,5,55,alee ashraq,ޢަލީ އަޝްރަޤް,kinbidhoo dhaairaa,ކިނބިދޫ ދާއިރާ,20,17458.52,rti-majlis-vip-passports-20th
vip20--056,6,56,hanaan muhamadhu rasheedhu,ހަނާން މުޙައްމަދު ރަޝީދު,guraidhoo dhaairaa,ގުރައިދޫ ދާއިރާ,20,17458.52,rti-majlis-vip-passports-20th
vip20--057,6,57,ismaaeel shafeeu,އިސްމާޢީލް ޝަފީޢު,isdhoo dhaairaa,އިސްދޫ ދާއިރާ,11,9602.18,rti-majlis-vip-passports-20th
vip20--058,6,58,yoosuf nasheedhu,ޔޫސުފް ނަޝީދު,gamu dhaairaa,ގަމު ދާއިރާ,19,16585.59,rti-majlis-vip-passports-20th
vip20--059,6,59,ahmadhu shaakiru,އަޙްމަދު ޝާކިރު,maavashu dhaairaa,މާވަށު ދާއިރާ,30,26187.78,rti-majlis-vip-passports-20th
vip20--060,6,60,aazim abdhulazeez,ޢާޒިމް ޢަބްދުލްޢަޒީޒް,vilingili dhaairaa,ވިލިނގިލި ދާއިރާ,61,53248.49,rti-majlis-vip-passports-20th
vip20--061,6,61,muhamadhu fazeel,މުޙައްމަދު ފަޟީލް,dhaandhoo dhaairaa,ދާންދޫ ދާއިރާ,8,6983.40,rti-majlis-vip-passports-20th
vip20--062,6,62,asadhuullah shihaab,އަސަދުﷲ ޝިހާބް,gemanafushi dhaairaa,ގެމަނަފުށި ދާއިރާ,15,13093.89,rti-majlis-vip-passports-20th
vip20--063,6,63,ibraaheemdheedhee,އިބްރާހީމްދީދީ,kolamaafushi dhaairaa,ކޮލަމާފުށި ދާއިރާ,19,16585.59,rti-majlis-vip-passports-20th
vip20--064,6,64,muhamadhu alsan ahmadhu,މުޙައްމަދު އަލްސަން އަޙްމަދު,thinadhoo dhekunu dhaairaa,ތިނަދޫ ދެކުނު ދާއިރާ,10,8729.26,rti-majlis-vip-passports-20th
vip20--065,6,65,muhamadhu shameez,މުޙައްމަދު ޝަމީޒް,madaveli dhaairaa,މަޑަވެލި ދާއިރާ,12,10475.11,rti-majlis-vip-passports-20th
vip20--066,6,66,ashraf rasheedhu,އަޝްރަފް ރަޝީދު,faresmaathodaa dhaairaa,ފަރެސްމާތޮޑާ ދާއިރާ,2,1745.85,rti-majlis-vip-passports-20th
vip20--067,6,67,muhamadhu alee,މުޙައްމަދު ޢަލީ,gadhoo dhaairaa,ގައްދޫ ދާއިރާ,26,22696.08,rti-majlis-vip-passports-20th
vip20--068,6,68,alee fazaadhu,ޢަލީ ފަޒާދު,fuvamulaku medhu dhaairaa,ފުވައްމުލަކު މެދު ދާއިރާ,24,20950.23,rti-majlis-vip-passports-20th
vip20--069,6,69,ibraaheem husain,އިބްރާހީމް ޙުސައިން,fuvamulaku dhekunu dhaairaa,ފުވައްމުލަކު ދެކުނު ދާއިރާ,31,27060.71,rti-majlis-vip-passports-20th
vip20--070,6,70,muhamadhu shaahidhu,މުޙައްމަދު ޝާހިދު,hulhudhoo dhaairaa,ހުޅުދޫ ދާއިރާ,26,22696.08,rti-majlis-vip-passports-20th
vip20--071,6,71,ismaaeel nizaaru,އިސްމާޢީލް ނިޒާރު,feydhoo uthuru dhaairaa,ފޭދޫ އުތުރު ދާއިރާ,29,25314.86,rti-majlis-vip-passports-20th
vip20--072,6,72,ibraaheemdheedhee,އިބްރާހީމްދީދީ,feydhoo dhekunu dhaairaa,ފޭދޫ ދެކުނު ދާއިރާ,97,84673.84,rti-majlis-vip-passports-20th
vip20--073,6,73,ahmadhudheedhee,އަޙްމަދުދީދީ,maradhoo dhaairaa,މަރަދޫ ދާއިރާ,17,14839.74,rti-majlis-vip-passports-20th
vip20--074,6,74,muhamadhu sinaan,މުޙައްމަދު ސިނާން,hithadhoo uthuru dhaairaa,ހިތަދޫ އުތުރު ދާއިރާ,64,55867.28,rti-majlis-vip-passports-20th
vip20--075,6,75,ahmadhu azaan maruzooqu,އަޙްމަދު އަޒާން މަރުޒޫޤު,hithadhoo medhu dhaairaa,ހިތަދޫ މެދު ދާއިރާ,20,17458.52,rti-majlis-vip-passports-20th
vip20--076,6,76,ibraaheem naazil,އިބްރާހީމް ނާޒިލް,hithadhoo dhekunu dhaairaa,ހިތަދޫ ދެކުނު ދާއިރާ,29,25314.86,rti-majlis-vip-passports-20th
