row_id,source_page,source_row,constituency,name,movements,rate_usd,total_usd,total_mvr,source_id
vip18--001,1,1,Hulhuhenveyru,Moosa Maniku,435,60.00,26100.00,402462.00,rti-majlis-vip-18th
vip18--002,1,2,Medhu Henveyru,Ali Azim,3,60.00,180.00,2775.60,rti-majlis-vip-18th
vip18--003,1,3,Henveyru Dhekunu,Mohamed Abdul Kareem,80,60.00,4800.00,74016.00,rti-majlis-vip-18th
vip18--004,1,4,Henveyru Uthuru,Abdulla Shahid,289,60.00,17340.00,267382.80,rti-majlis-vip-18th
vip18--005,1,5,Galolhu Uthuru,Eva Abdulla,17,60.00,1020.00,15728.40,rti-majlis-vip-18th
vip18--006,1,6,Galolhu Dhekunu,Ahmed Mahloof,95,60.00,5700.00,87894.00,rti-majlis-vip-18th
vip18--007,1,7,Machchangolhi Uthuru,Mariya Ahmed Didi,39,60.00,2340.00,36082.80,rti-majlis-vip-18th
vip18--008,1,8,Machchangolhi Dhekunu,Abdulla Sinan,3,60.00,180.00,2775.60,rti-majlis-vip-18th
vip18--009,1,9,Maafannu Uthuru,Imthiyas Fahmy,54,60.00,3240.00,49960.80,rti-majlis-vip-18th
vip18--010,1,10,Maafannu Hulhangu,Mohamed Falah,0,60.00,0.00,0.00,rti-majlis-vip-18th
vip18--011,1,11,Maafannu Medhu,Asma Rasheed,50,60.00,3000.00,46260.00,rti-majlis-vip-18th
vip18--012,1,12,Maafannu Dhekunu,Abdulla Rifau,180,60.00,10800.00,166536.00,rti-majlis-vip-18th
vip18--013,1,13,Villimale,Ahmed Nihan Hussain Manik,183,60.00,10980.00,169311.60,rti-majlis-vip-18th
vip18--014,1,14,Hoarafushi,Mohamed Ismail,214,60.00,12840.00,197992.80,rti-majlis-vip-18th
vip18--015,1,15,Ihavandhoo,Mohamed Abdulla,5,60.00,300.00,4626.00,rti-majlis-vip-18th
vip18--016,1,16,Baarashu,Ibrahim Shujau,129,60.00,7740.00,119350.80,rti-majlis-vip-18th
vip18--017,1,17,Dhidhdhoo,Abdul Latheef Ahmed,2,60.00,120.00,1850.40,rti-majlis-vip-18th
vip18--018,1,18,kelaa,Ali Arif,143,60.00,8580.00,132303.60,rti-majlis-vip-18th
vip18--019,1,19,hanimaadhoo,Hussain Shahudhee,47,60.00,2820.00,43484.40,rti-majlis-vip-18th
vip18--020,1,20,Nolhivaram,Hussain Areef,0,60.00,0.00,0.00,rti-majlis-vip-18th
vip18--021,1,21,Vaikaradhoo,Mohamed Nazim,229,60.00,13740.00,211870.80,rti-majlis-vip-18th
vip18--022,1,22,Kulhudhuhfushi Uthuru,Abdul Ghafoor Moosa,190,60.00,11400.00,175788.00,rti-majlis-vip-18th
vip18--023,1,23,Kulhudhuhfushi Dhekunu,Mohamed Nasheed,4,60.00,240.00,3700.80,rti-majlis-vip-18th
vip18--024,1,24,Makunudhoo,Anara Naeem,79,60.00,4740.00,73090.80,rti-majlis-vip-18th
vip18--025,1,25,Kanditheemu,Mohamed Hussain,283,60.00,16980.00,261831.60,rti-majlis-vip-18th
vip18--026,1,26,Milandhoo,Hassan Mufeed Abdul Gadir,61,60.00,3660.00,56437.20,rti-majlis-vip-18th
vip18--027,1,27,Komandoo,Ahmed Nashid,2,60.00,120.00,1850.40,rti-majlis-vip-18th
vip18--028,1,28,Funadhoo,Ali Saleem,59,60.00,3540.00,54586.80,rti-majlis-vip-18th
vip18--029,1,29,Kendhikolhudhoo,Ali Mauroof,75,60.00,4500.00,69390.00,rti-majlis-vip-18th
vip18--030,1,30,Manadhoo,Umar Hussain,20,60.00,1200.00,18504.00,rti-majlis-vip-18th
vip18--031,1,31,Velidhoo,Abdulla Yamin,55,60.00,3300.00,50886.00,rti-majlis-vip-18th
vip18--032,1,32,Holhudhoo,Ali Mohamed,43,60.00,2580.00,39783.60,rti-majlis-vip-18th
vip18--033,1,33,Alifushi,Mohamed Rasheed Hussain,2,60.00,120.00,1850.40,rti-majlis-vip-18th
vip18--034,1,34,Ungoofaaru,Jaufar Dawood,102,60.00,6120.00,94370.40,rti-majlis-vip-18th
vip18--035,1,35,Dhuvaafaru,Mohamed Ali,93,60.00,5580.00,86043.60,rti-majlis-vip-18th
vip18--036,1,36,Inguraidhoo,Ibrahim Falah,348,60.00,20880.00,321969.60,rti-majlis-vip-18th
vip18--037,1,37,Maduvvari,Mohamed Ameeth Ahmed Manik,82,60.00,4920.00,75866.40,rti-majlis-vip-18th
vip18--038,1,38,Thulhaadhoo,Nazim Rashad,0,60.00,0.00,0.00,rti-majlis-vip-18th
vip18--039,1,39,Eydhafushi,Ahmed Saleem,17,60.00,1020.00,15728.40,rti-majlis-vip-18th
vip18--040,1,40,Kendhoo,Ali Hussain,49,60.00,2940.00,45334.80,rti-majlis-vip-18th
vip18--041,1,41,Hinnavaru,Ibrahim Mohamed Solih,46,60.00,2760.00,42559.20,rti-majlis-vip-18th
vip18--042,1,42,Naifaru,Ahmed Shiyam,70,60.00,4200.00,64764.00,rti-majlis-vip-18th
vip18--043,1,43,Kurendhoo,Abdul Bari Abdulla,26,60.00,1560.00,24055.20,rti-majlis-vip-18th
vip18--044,1,44,Kaashidhoo,Faisal Naseem,2,60.00,120.00,1850.40,rti-majlis-vip-18th
vip18--045,2,45,Thulusdhoo,Mohamed Waheed Ibrahim,47,60.00,2820.00,43484.40,rti-majlis-vip-18th
vip18--046,2,46,Guraidhoo,Ibrahim Riza,65,60.00,3900.00,60138.00,rti-majlis-vip-18th
vip18--047,2,47,Mathiveri,Hussain Mohamed,5,60.00,300.00,4626.00,rti-majlis-vip-18th
vip18--048,2,48,Thoddoo,Ibrahim Hassan,4,60.00,240.00,3700.80,rti-majlis-vip-18th
vip18--049,2,49,Maamigili,Qasim Ibrahim,65,60.00,3900.00,60138.00,rti-majlis-vip-18th
vip18--050,2,50,Mahibadhoo,Ahmed Thariq,17,60.00,1020.00,15728.40,rti-majlis-vip-18th
vip18--051,2,51,Dhangethi,Ilham Ahmed,183,60.00,10980.00,169311.60,rti-majlis-vip-18th
vip18--052,2,52,Felidhoo,Ahmed Marzooq,72,60.00,4320.00,66614.40,rti-majlis-vip-18th
vip18--053,2,53,Keyodhoo,Moosa Nizar,0,60.00,0.00,0.00,rti-majlis-vip-18th
vip18--054,2,54,Dhiggaru,Ahmed Nazim,28,60.00,1680.00,25905.60,rti-majlis-vip-18th
vip18--055,2,54,Dhiggaru,Ahmed Faris Maumoon,89,60.00,5340.00,82342.80,rti-majlis-vip-18th
vip18--056,2,55,Mulaku,Ibrahim Naseer,51,60.00,3060.00,47185.20,rti-majlis-vip-18th
vip18--057,2,56,Bilehdhoo,Ahmed Mubeen,42,60.00,2520.00,38858.40,rti-majlis-vip-18th
vip18--058,2,57,Nilandhoo,Abdulla Khaleel,119,60.00,7140.00,110098.80,rti-majlis-vip-18th
vip18--059,2,58,Meedhoo,Ahmed Siyam Mohamed,186,60.00,11160.00,172087.20,rti-majlis-vip-18th
vip18--060,2,59,Kuda Huvadhoo,Ahmed Amir,18,60.00,1080.00,16653.60,rti-majlis-vip-18th
vip18--061,2,60,Vilufushi,Riyaz Rasheed,473,60.00,28380.00,437619.60,rti-majlis-vip-18th
vip18--062,2,61,Thimarafushi,Mohamed Musthafa,252,60.00,15120.00,233150.40,rti-majlis-vip-18th
vip18--063,2,62,Kinbidhoo,Abdulla Riyaz,7,60.00,420.00,6476.40,rti-majlis-vip-18th
vip18--064,2,63,Th. Guraidhoo,Hussain Manik Don Manik,57,60.00,3420.00,52736.40,rti-majlis-vip-18th
vip18--065,2,64,Isdhoo,Ahmed Rasheed Ibrahim,41,60.00,2460.00,37933.20,rti-majlis-vip-18th
vip18--066,2,65,Gamu,Fayyaz Ismail,9,60.00,540.00,8326.80,rti-majlis-vip-18th
vip18--067,2,66,Fonadhoo,Abdul Raheem Abdulla,813,60.00,48780.00,752187.60,rti-majlis-vip-18th
vip18--068,2,67,Maavashu,Ahmed Azhan Fahmy,67,60.00,4020.00,61988.40,rti-majlis-vip-18th
vip18--069,2,68,Villingilli,Saud Hussain,67,60.00,4020.00,61988.40,rti-majlis-vip-18th
vip18--070,2,69,Dhaandhoo,Ahmed Asad,24,60.00,1440.00,22204.80,rti-majlis-vip-18th
vip18--071,2,70,Gemanafushi,Jameel Usman,41,60.00,2460.00,37933.20,rti-majlis-vip-18th
vip18--072,2,71,Thinadhoo Uthuru,Saudulla Hilmy,0,60.00,0.00,0.00,rti-majlis-vip-18th
vip18--073,2,72,Thinadhoo Dhekunu,Abdulla Ahmed,169,60.00,10140.00,156358.80,rti-majlis-vip-18th
vip18--074,2,73,madaveli,Muaz Mohamed Rasheed,76,60.00,4560.00,70315.20,rti-majlis-vip-18th
vip18--075,2,74,Faresmaathoda,Hussain Mohamed Latheef,50,60.00,3000.00,46260.00,rti-majlis-vip-18th
vip18--076,2,75,Gahdhoo,Ahmed Rasheed,136,60.00,8160.00,125827.20,rti-majlis-vip-18th
vip18--077,2,76,Fuvahmulaku Uthuru,Ali Shaah,10,60.00,600.00,9252.00,rti-majlis-vip-18th
vip18--078,2,77,Fuvahmulaku Medhu,Ali Fazad,86,60.00,5160.00,79567.20,rti-majlis-vip-18th
vip18--079,2,78,Fuvahmulaku Dhekunu,Abdulla Maseeh Mohamed,4,60.00,240.00,3700.80,rti-majlis-vip-18th
vip18--080,2,79,Hulhudhoo,Mohamed Shahid,42,60.00,2520.00,38858.40,rti-majlis-vip-18th
vip18--081,2,80,Feydhoo,Ibrahim Didi,89,60.00,5340.00,82342.80,rti-majlis-vip-18th
vip18--082,2,81,Maradhoo,Ibrahim Shareef,1,60.00,60.00,925.20,rti-majlis-vip-18th
vip18--083,2,82,Hithadhoo Uthuru,Mohamed Aslam,2,60.00,120.00,1850.40,rti-majlis-vip-18th
vip18--084,2,83,Hithadhoo Medhu,Ibrahim Mohamed Didi,74,60.00,4440.00,68464.80,rti-majlis-vip-18th
vip18--085,2,84,Hithadhoo Dhekunu,Ali Nizar,14,60.00,840.00,12952.80,rti-majlis-vip-18th
vip18--086,2,85,Addu Meedhoo,Rozaina Adam,110,60.00,6600.00,101772.00,rti-majlis-vip-18th
