majlis_id,term,name,name_dv,constituency,constituency_dv,party,seat_no,photo_url,source_id
45,18,Ahmed Siyam Mohamed,އަޙްމަދު ސިޔާމް މުޙައްމަދު,Meedhoo Dhaaira,މީދޫ ދާއިރާ,MDA,0,https://majlis.gov.mv/storage/members/Fx8UZS1oOA00OGMlynKvA4GjMoAzNJELwoafdnJn.jpeg,majlis-member-roster
44,18,Abdulla Khaleel,ޢަބްދުﷲ ޚަލީލް,Nilandhoo Dhaaira,ނިލަންދޫ ދާއިރާ,PPM,0,https://majlis.gov.mv/storage/members/SuiIGNx4WimNRXWUyaVr09Ew4Ln1GfTVvm9CphOO.jpeg,majlis-member-roster
73,18,Moosa Manik,މޫސާ މަނިކު,Hulhuhenveiru Dhaaira,ހުޅުހެންވޭރު ދާއިރާ,PPM,0,https://majlis.gov.mv/storage/members/QD0MsA3ALziNxuUgpE3TiQVGDyDxsRXfVqNRDnC4.jpeg,majlis-member-roster
85,18,Asma Rasheed,އަސްމާ ރަޝީދު,Maafannu Medhu Dhaaira,މާފަންނު މެދު ދާއިރާ,PPM,0,https://majlis.gov.mv/storage/members/8pucM8B3Fotr2epZ8kViKPS7kQDL98ahujzBqwNN.jpeg,majlis-member-roster
84,18,Ahmed Nihan Hussain Manik,އަޙްމަދު ނިހާން ޙުސައިންމަނިކު,Villimale' Dhaaira,ވިލިމާލެ ދާއިރާ,PPM,0,https://majlis.gov.mv/storage/members/CgpxfnJxKMUd3Kla7W0UE346XcxkRE03fhEE0DTV.jpeg,majlis-member-roster
83,18,Abdulla Rifau,ޢަބްދުﷲ ރިފާޢު,Maafannu Dhekunu Dhaaira,މާފަންނު ދެކުނު ދާއިރާ,PPM,0,https://majlis.gov.mv/storage/members/y6fNiZy5u8ziwG8VTnZKWMQf7djPsykQ1qZrxy2K.jpeg,majlis-member-roster
82,18,Mohamed Falah,މުޙައްމަދު ފަލާޙް,Maafannu Hulhangu Dhaaira,މާފަންނު ހުޅަނގު ދާއިރާ,MDP,0,https://majlis.gov.mv/storage/members/r266SlaFF8kPN5LXjZvJR2wfYidBZBMcjiUAnKx9.jpeg,majlis-member-roster
81,18,Imthiyaz Fahumy,އިމްތިޔާޒު ފަހުމީ,Maafannu Uthuru Dhaaira,މާފަންނު އުތުރު ދާއިރާ,MDP,0,https://majlis.gov.mv/storage/members/r6ckyz3uNYxjyqw7dOvW1c1DlVwKow4F7ArdPWN6.jpeg,majlis-member-roster
79,18,Abdulla Shinan,ޢަބްދުﷲ ސިނާން,Mahchangoalhi Dhekunu Dhaaira,މައްޗަންގޮޅި ދެކުނު ދާއިރާ,IND,0,https://majlis.gov.mv/storage/members/sI9r1KpoOE8711fCngNCLNk26Owt9zBaU5mMWQRY.jpeg,majlis-member-roster
78,18,Eeva Abdulla,އީވާ ޢަބްދުﷲ,Galolhu Uthuru Dhaaira,ގަލޮޅު އުތުރު ދާއިރާ,MDP,0,https://majlis.gov.mv/storage/members/QSRryk9PtamrcRZAjNbDaga5nKM74fUFccHu53yv.jpeg,majlis-member-roster
75,18,Mohamed Abdul Kareem,މުޙައްމަދު ޢަބްދުލްކަރީމް,Henveyru Dhekunu Dhaaira,ހެންވޭރު ދެކުނު ދާއިރާ,MDP,0,https://majlis.gov.mv/storage/members/NSdNW5qibH02KMlQd37H02qRmkx5UcX6RuKn9r76.jpeg,majlis-member-roster
74,18,Ali Azim,ޢަލީ ޢާޡިމް,Medhu Henveyru Dhaaira,މެދުހެންވޭރު ދާއިރާ,MDP,0,https://majlis.gov.mv/storage/members/zIckXJJS5JVwUckyvhv2uL3xVtwaAzJHEtYlyYWx.jpeg,majlis-member-roster
43,18,Ahmed Mubeen,ޢަހްމަދު މުބީން,Bilehdhoo Dhaaira,ބިލެތްދޫ ދާއިރާ,JP,0,https://majlis.gov.mv/storage/members/Z1L2iPyfz1Q18xnp59D6fT3TR84sNVNka7AongF9.jpeg,majlis-member-roster
72,18,Rozaina Adam,ރޮޒައިނާ އާދަމް,Addu Meedhoo Dhaaira,އައްޑޫމީދޫ ދާއިރާ,MDP,0,https://majlis.gov.mv/storage/members/aVNPuPv2S6Y19oR7TocZvhV1Dmsx8EEBhEnnsQ2l.jpeg,majlis-member-roster
71,18,Ali Nizar,ޢަލީ ނިޒާރު,Hithadhoo Dhekunu Dhaaira,ހިތަދޫ ދެކުނު ދާއިރާ,MDP,0,https://majlis.gov.mv/storage/members/euAVLfcQ8c4w7LK4tc5moSlHMjD0AijA7yqLscbu.png,majlis-member-roster
